Algorithm_Class,Best_Validation_RMSE,RMSE_Std_Dev,Best_Validation_MAE,MAE_Std_Dev,Best_Params,Diff_to_Leader_%
CatBoost,0.14850772320691502,0.012912700379755995,0.0837667915753263,0.00450478481894877,"{'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 100, 'depth': 4}",0.0
AdaBoost,0.1500764924337053,0.012824020334026779,0.08758220108853852,0.0043008573990139755,"{'n_estimators': 100, 'loss': 'linear', 'learning_rate': 0.01}",1.0563553146690698
XGBoostLSS,0.1505971586101516,0.012817767016213387,0.08333823095670397,0.005393549492988153,"{'num_boost_round': 100, 'max_depth': 3, 'eta': 0.05}",1.4069540345220863
XGBoost,0.15107502594694308,0.01316939593337059,0.08400284050032032,0.004494999618907495,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",1.7287334857669663
LightGBM,0.15214487580997896,0.014047908749564544,0.08706473658122701,0.005498827938235123,"{'subsample': 0.8, 'num_leaves': 20, 'n_estimators': 100, 'learning_rate': 0.05}",2.4491336373101023
GBM,0.15215098561181697,0.014423916686007792,0.08504891679729418,0.0050297228037008675,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",2.453247768013934
HistGBM,0.15358917316320647,0.013426635154110876,0.08823394216184406,0.004867048199248177,"{'max_leaf_nodes': 31, 'max_iter': 100, 'learning_rate': 0.05, 'l2_regularization': 0.0}",3.4216738675681486
